# Delta Orionis - RV2 from astridcor
#        HJD        RV1       RVs1            source  dataset
 2454136.5830     4.7680     0.304     RV1_astridcor     1
 2454809.7226    48.7550     0.331     RV1_astridcor     1
 2454809.7238    51.4730     0.303     RV1_astridcor     1
 2454809.7255    48.9440     0.319     RV1_astridcor     1
 2454953.4599     4.7500     0.304     RV1_astridcor     1
 2454953.4615     4.5650     0.301     RV1_astridcor     1
 2455836.5692   -38.9120     0.735     RV1_astridcor     1
 2455836.5827   -39.0820     0.676     RV1_astridcor     1
 2455836.5963   -39.5350     0.691     RV1_astridcor     1
 2455836.6137   -40.2750     0.734     RV1_astridcor     1
 2455836.6287   -43.3230     0.733     RV1_astridcor     1
 2455836.6434   -48.2710     0.877     RV1_astridcor     1
 2455837.5877  -119.1880     0.625     RV1_astridcor     1
 2455837.6016  -119.2190     0.537     RV1_astridcor     1
 2455837.6152  -119.2870     0.632     RV1_astridcor     1
 2455837.6294  -122.8360     0.621     RV1_astridcor     1
 2455871.5969  -101.0500     0.655     RV1_astridcor     1
 2455893.4601    13.3270     0.628     RV1_astridcor     1
 2455893.4820    13.1630     0.585     RV1_astridcor     1
 2455953.4009   -33.5230     0.693     RV1_astridcor     1
 2455953.4226   -31.6640     0.661     RV1_astridcor     1
 2455953.4508   -30.0090     0.643     RV1_astridcor     1
 2455953.4692   -26.8030     0.737     RV1_astridcor     1
 2455953.4871   -25.2990     0.707     RV1_astridcor     1
 2455956.3498    35.5160     0.771     RV1_astridcor     1
 2455959.2469   -18.2700     0.683     RV1_astridcor     1
 2455977.3276    68.8270     0.805     RV1_astridcor     1
 2455990.3318    73.2430     0.842     RV1_astridcor     1
 2455991.2779   -31.8380     0.835     RV1_astridcor     1
 2455992.2949  -117.2410     0.815     RV1_astridcor     1
 2456003.3328   -96.3580     0.751     RV1_astridcor     1
 2456011.3498    34.0200     0.884     RV1_astridcor     1
 2456167.6213    95.3570     0.667     RV1_astridcor     1
 2456241.4709    90.3960     0.768     RV1_astridcor     1
 2456257.4224    -4.8590     0.794     RV1_astridcor     1
 2456257.6273    13.9530     0.850     RV1_astridcor     1
 2456330.3789  -113.7560     0.646     RV1_astridcor     1
 2456354.3038   -87.2660     0.684     RV1_astridcor     1
 2456357.3761    69.5540     0.783     RV1_astridcor     1
 2456596.5631    84.9650     0.504     RV1_astridcor     1
 2456608.6423   103.5790     0.529     RV1_astridcor     1
 2456609.4312    72.4930     0.561     RV1_astridcor     1
 2456621.6375     4.0550     0.558     RV1_astridcor     1
 2456629.6451   -60.1980     0.544     RV1_astridcor     1
 2456642.5644    85.9470     0.506     RV1_astridcor     1
 2456643.3817   102.1240     0.541     RV1_astridcor     1
 2456643.6078    93.8850     0.482     RV1_astridcor     1
 2456666.3166   107.2580     0.452     RV1_astridcor     1
 2456666.4940    98.9970     0.589     RV1_astridcor     1
 2456704.3508   -39.3000     0.562     RV1_astridcor     1
 2456714.2672  -101.3100     0.515     RV1_astridcor     1
 2456719.3096   -29.7840     0.580     RV1_astridcor     1
 2456721.3496   -59.7220     0.482     RV1_astridcor     1
 2456737.3202  -115.9550     0.585     RV1_astridcor     1
 2456738.3020   -83.9470     0.638     RV1_astridcor     1
 2456746.2894   102.5340     0.672     RV1_astridcor     1
 2456928.5832    38.2820     0.575     RV1_astridcor     1
 2457105.2900   -73.0200     0.530     RV1_astridcor     1
 2457106.2877    43.6110     1.229     RV1_astridcor     1
 2457106.3182    47.0120     0.643     RV1_astridcor     1
 2457116.3066  -112.0710     0.730     RV1_astridcor     1
 2457128.2762   -67.5940     0.733     RV1_astridcor     1
 2457297.5482    63.5380     0.550     RV1_astridcor     1
 2457364.5793    69.2190     0.471     RV1_astridcor     1
 2457445.3477    92.5340     0.665     RV1_astridcor     1
 2457464.3540    -8.3270     0.679     RV1_astridcor     1
 2458389.5221   -58.4710     0.796     RV1_astridcor     1
 2458390.6224    59.7090     2.141     RV1_astridcor     1
 2458390.6416    68.0940     0.574     RV1_astridcor     1
 2458402.5225    90.6370     0.504     RV1_astridcor     1
 2458405.5661  -119.2420     0.635     RV1_astridcor     1
